#,SS1,MP,W,D,L,GF,GA,GD,Pts,Rules,
1,Diew,7,7,0,0,56,4,52,21,📌2 Set,
2,Nine,7,4,2,1,47,27,20,14,📌First of 4 games,
3,Golf,5,4,0,1,32,18,14,12,📌1-1 Set = Draw,
4,Fight,7,2,3,2,39,39,0,9,📌Deuce Death,
5,Prew,6,2,2,2,31,33,-2,8,,
6,Ohm,6,1,1,4,20,42,-22,4,,
7,Bank,4,0,2,2,14,26,-12,2,,
8,Arm,1,0,0,1,2,8,-6,0,,
9,Zid,4,0,0,4,10,32,-22,0,,
10,Moo,3,0,0,3,2,24,-22,0,,
11,Nat,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,
vs,Arm,Bank,Diew,Fight,Golf,Moo,Nat,Nine,Ohm,Prew,Zid
Arm,,,,,"2-4, 0-4",,,,TBA,,TBA
Bank,,,"0-4, 0-4","4-0, 2-4",TBA,,,"0-4, 2-4",,"2-4, 4-2",TBA
Diew,,"4-0, 4-0",,"4-0, 4-0","4-0, 4-0","4-0, 4-0",,"4-1, 4-1","4-0, 4-0","4-2, 4-0",
Fight,,"0-4, 4-2","0-4, 0-4",,"3-4, 2-4","4-0, 4-2",2-3,"4-3, 3-4","4-2, 3-4","4-0, 4-2",
Golf,"4-2, 4-0",TBA,"0-4, 0-4","4-3, 4-2",,,,TBA,"4-0, 4-0",,"4-2, 4-1"
Moo,,,"0-4, 0-4","0-4, 2-4",,,,"0-4, 0-4",,,
Nat,,,,3-2,,,,,,,
Nine,,"4-0, 4-2","1-4, 1-4","3-4, 4-3",TBA,"4-0, 4-0",,,"4-1, 4-0","2-4, 4-1","4-1, 4-3"
Ohm,TBA,,"0-4, 0-4","2-4, 4-3","0-4, 0-4",,,"1-4, 0-4",,"3-4, 2-4","4-0, 4-3"
Prew,,"4-2, 2-4","2-4, 0-4","0-4, 2-4",,,,"4-2, 1-4","4-3, 4-2",,"4-0, 4-0"
Zid,TBA,TBA,,,"2-4, 1-4",,,"1-4, 3-4","0-4, 3-4","0-4, 0-4",
